instances,feature_Harmfulness,algo_random_forest
1,0.011627906976744186,0.3473715191842689
2,0.043478260869565216,0.832091904076676
3,0.13043478260869565,0.06388612979500376
4,0.0,0.8684487915543011
5,0.011627906976744186,0.15223416873975323
6,0.0,0.9623412063836713
7,0.13043478260869565,0.7752441059709873
8,0.13043478260869565,0.3870077599768991
9,0.2608695652173913,1.6566004699741526
10,0.011627906976744186,0.09845228492221014
11,0.0,0.09615108652413122
12,0.0,0.20363384685123023
13,0.08695652173913043,0.09821868036080565
14,0.0,0.10339306661097465
15,0.0,0.04411314097132892
16,0.0,0.2799529467604625
17,0.0,0.12560373724968704
18,0.21739130434782608,0.7478061165170801
19,0.043478260869565216,0.553469972591402
20,0.011627906976744186,0.2784553961184392
21,0.03488372093023256,3.2073378207107224
22,0.0,0.22519821347596067
23,0.0,0.09845228492221014
24,0.0,0.11396105994601619
25,0.0,0.037015386302199506
26,0.0,0.08923702588640178
27,0.0,0.12399471958083544
28,0.011627906976744186,0.06251877813863987
29,0.0,0.04041184535537476
30,0.43478260869565216,0.06966372852861255
31,0.0,0.04411314097132892
32,0.011627906976744186,0.7565820092282391
33,0.0,0.11398875110072565
34,0.08695652173913043,1.4782192511473833
35,0.011627906976744186,0.06251877813863987
36,0.0,0.19285083518514912
37,0.023255813953488372,0.5074577489549111
38,0.011627906976744186,0.09845228492221014
39,0.011627906976744186,0.12560373724968704
40,0.0,0.11966365251395669
41,0.0,0.2588269676859712
42,0.5652173913043478,1.6151506480422062
43,0.0,0.09373669510158682
44,0.2608695652173913,1.299849089280823
45,0.011627906976744186,0.4123136785967208
46,0.0,0.1348537475006386
47,0.0,0.24305612361495957
48,0.34782608695652173,0.669460035399277
49,0.011627906976744186,0.057316894186287035
50,0.043478260869565216,1.1899287921557486
51,0.0,0.037015386302199506
52,0.0,0.07694520666598847
53,0.023255813953488372,0.15928172582086533
54,0.0,0.04041184535537476
55,0.0,0.08101261055247995
56,0.0,0.09373669510158682
57,0.0,0.1465960014635148
58,0.0,0.09373669510158682
59,0.0,0.07694520666598847
60,0.0,0.10856860373462711
61,0.0,0.46720462887084996
62,0.0,0.15223416873975323
63,0.0,0.12560373724968704
64,0.0,0.4400084665366097
65,0.0,0.18773537337211413
66,0.0,0.11966365251395669
67,0.011627906976744186,0.052536544536609775
68,0.0,0.03389956994917341
69,0.21739130434782608,1.6915215053162318
70,0.0,0.04814535061310601
71,0.0,0.04041184535537476
72,0.011627906976744186,0.22172045215968672
73,0.0,0.07432830128443656
74,0.391304347826087,1.0512679972454704
75,0.0,0.3182415242822701
76,0.0,0.04041184535537476
77,0.011627906976744186,0.1451235525041118
78,0.0,0.24305612361495957
79,0.0,0.08923702588640178
80,0.0,0.17297337313516428
81,0.0,0.052536544536609775
82,0.0,0.13181971514120627
83,0.0,0.08923702588640178
84,0.0,0.4123136785967208
85,0.0,0.03104197741269446
86,0.0,0.12399471958083544
87,0.0,0.04814535061310601
88,0.08695652173913043,0.5305701775860495
89,0.0,0.10339306661097465
90,0.0,0.19285083518514912
91,0.0,1.8966574220305012
92,0.0,0.06817688362058891
93,0.0,0.057316894186287035
94,0.13043478260869565,0.30843414486098364
95,0.0,0.1451235525041118
96,0.0,0.13181971514120627
97,0.0,0.06817688362058891
98,0.0,0.09373669510158682
99,0.0,0.03389956994917341
100,0.0,0.16743154098071678
101,0.0,0.5096951013233706
102,0.0,2.2084405215144773
103,0.011627906976744186,0.1451235525041118
104,0.0,0.09845228492221014
105,0.0,0.10339306661097465
106,0.0,0.12560373724968704
107,0.08695652173913043,0.14966984753178467
108,0.043478260869565216,2.148873128053016
109,0.011627906976744186,0.06251877813863987
