instances,feature_Usefulness,algo_random_forest
1,0.3429179978700746,0.06187540371808753
2,0.858359957401491,9.992007221626415e-16
3,0.9936102236421726,9.992007221626415e-16
4,0.31522896698615543,9.992007221626415e-16
5,0.29499467518636846,9.992007221626415e-16
6,0.29818956336528224,9.992007221626415e-16
7,0.9749733759318424,9.992007221626415e-16
8,0.8487752928647497,9.992007221626415e-16
9,0.30777422790202347,9.992007221626415e-16
10,0.9717784877529286,0.01005033585350145
11,0.9206602768903088,9.992007221626415e-16
12,0.9041533546325878,0.020202707317519466
13,0.29818956336528224,9.992007221626415e-16
14,0.8684771033013845,9.992007221626415e-16
15,0.2912673056443025,9.992007221626415e-16
16,0.3397231096911608,9.992007221626415e-16
17,0.2971246006389776,9.992007221626415e-16
18,0.305111821086262,9.992007221626415e-16
19,0.43769968051118213,9.992007221626415e-16
20,0.8077742279020235,9.992007221626415e-16
21,0.292332268370607,9.992007221626415e-16
22,0.8759318423855165,0.020202707317519466
23,0.8594249201277955,9.992007221626415e-16
24,0.31043663471778493,9.992007221626415e-16
25,0.854632587859425,9.992007221626415e-16
26,0.29073482428115016,9.992007221626415e-16
27,0.9313099041533546,0.01005033585350145
28,0.30244941427050054,9.992007221626415e-16
29,0.659744408945687,9.992007221626415e-16
30,0.7960596379126731,9.992007221626415e-16
31,0.28966986155484553,9.992007221626415e-16
32,0.8556975505857295,9.992007221626415e-16
33,0.8620873269435569,0.01005033585350145
34,0.2976570820021299,9.992007221626415e-16
35,0.2976570820021299,9.992007221626415e-16
36,0.9872204472843451,0.01005033585350145
37,0.29446219382321615,9.992007221626415e-16
38,0.9238551650692226,9.992007221626415e-16
39,0.3125665601703941,9.992007221626415e-16
40,0.2971246006389776,9.992007221626415e-16
41,0.3130990415335463,9.992007221626415e-16
42,0.3141640042598509,9.992007221626415e-16
43,0.95580404685836,9.992007221626415e-16
44,0.9861554845580405,0.040821994520255166
45,0.983493077742279,9.992007221626415e-16
46,0.9526091586794462,0.020202707317519466
47,0.3093716719914803,9.992007221626415e-16
48,0.2960596379126731,9.992007221626415e-16
49,0.31150159744408945,9.992007221626415e-16
50,0.2917997870074548,9.992007221626415e-16
51,0.28966986155484553,9.992007221626415e-16
52,0.7747603833865815,9.992007221626415e-16
53,0.2891373801916933,9.992007221626415e-16
54,0.2955271565495208,9.992007221626415e-16
55,0.7172523961661341,9.992007221626415e-16
56,0.9611288604898829,0.08610269905341174
57,0.8626198083067093,9.992007221626415e-16
58,0.3173588924387647,9.992007221626415e-16
59,0.9653887113951012,9.992007221626415e-16
60,0.8572949946751863,0.01005033585350145
61,0.2928647497337593,9.992007221626415e-16
62,0.28966986155484553,9.992007221626415e-16
63,0.2928647497337593,9.992007221626415e-16
64,0.9621938232161874,0.01612938192988353
65,0.7273695420660277,9.992007221626415e-16
66,0.308839190628328,9.992007221626415e-16
67,0.2928647497337593,9.992007221626415e-16
68,0.2933972310969116,9.992007221626415e-16
69,0.8615548455804047,9.992007221626415e-16
70,0.29925452609158676,9.992007221626415e-16
71,0.34558040468583595,9.992007221626415e-16
72,0.9142705005324814,9.992007221626415e-16
73,0.8354632587859425,9.992007221626415e-16
74,0.30724174653887115,9.992007221626415e-16
75,0.2933972310969116,9.992007221626415e-16
76,0.3093716719914803,9.992007221626415e-16
77,0.5079872204472844,9.992007221626415e-16
78,0.906283280085197,9.992007221626415e-16
79,0.30724174653887115,9.992007221626415e-16
80,0.9904153354632588,9.992007221626415e-16
81,0.9318423855165069,9.992007221626415e-16
82,0.829073482428115,9.992007221626415e-16
83,0.31096911608093714,9.992007221626415e-16
84,0.2933972310969116,9.992007221626415e-16
85,0.3093716719914803,9.992007221626415e-16
86,0.9126730564430245,0.030459207484708574
87,0.2960596379126731,9.992007221626415e-16
88,0.2971246006389776,9.992007221626415e-16
89,0.5159744408945687,0.01005033585350145
90,0.8594249201277955,9.992007221626415e-16
91,0.29818956336528224,9.992007221626415e-16
92,0.7598509052183173,9.992007221626415e-16
93,0.34930777422790205,9.992007221626415e-16
94,0.31576144834930775,9.992007221626415e-16
95,0.2971246006389776,9.992007221626415e-16
96,0.3003194888178914,9.992007221626415e-16
97,0.292332268370607,9.992007221626415e-16
98,0.8588924387646433,9.992007221626415e-16
99,0.2965921192758253,9.992007221626415e-16
100,0.4105431309904153,9.992007221626415e-16
101,0.3173588924387647,9.992007221626415e-16
102,0.34611288604898827,9.992007221626415e-16
103,0.6309904153354633,9.992007221626415e-16
104,0.9589989350372737,9.992007221626415e-16
105,0.40468583599574015,9.992007221626415e-16
106,0.8604898828541001,9.992007221626415e-16
107,0.3434504792332268,9.992007221626415e-16
108,0.3130990415335463,9.992007221626415e-16
109,0.9376996805111821,9.992007221626415e-16
110,0.9030883919062833,0.01005033585350145
111,0.5223642172523961,9.992007221626415e-16
112,0.9696485623003195,9.992007221626415e-16
113,0.29818956336528224,9.992007221626415e-16
114,0.31576144834930775,9.992007221626415e-16
115,0.836528221512247,9.992007221626415e-16
116,0.2976570820021299,9.992007221626415e-16
117,0.9648562300319489,9.992007221626415e-16
118,0.9078807241746539,9.992007221626415e-16
119,0.3610223642172524,9.992007221626415e-16
120,0.3397231096911608,9.992007221626415e-16
121,0.6789137380191693,0.01005033585350145
122,0.2971246006389776,9.992007221626415e-16
123,0.858359957401491,9.992007221626415e-16
124,0.3684771033013845,9.992007221626415e-16
