Row,CLD,N2,CL,Usefulness,Harmfulness,N1,LSC,LSR,DS,kDN
1,-0.6039823044421283,-1.074016101881536,-0.6039823044421283,-0.5787621275513227,0.0,0.0,0.0,0.0,0.0,0.0
2,-0.6039823044421283,-0.6297149931634254,-0.6039823044421283,-0.5787621275513227,0.0,0.0,0.0,0.0,0.0,0.0
3,-0.6039823044421283,-0.9702783388537937,-0.6039823044421283,-0.5787621275513227,0.0,0.0,0.0,0.0,0.0,0.0
4,-0.6039823044421283,-0.7905990566863197,-0.6039823044421283,-0.5787621275513227,0.0,0.0,0.0,0.0,0.0,0.0
5,-0.6039823044421283,-0.7100941180468701,-0.6039823044421283,-0.5787621275513227,0.0,0.0,0.0,0.0,0.0,0.0
6,1.8198940489111508,-0.31782889214960813,1.8198940489111508,-0.5787621275513227,0.0,0.0,0.0,0.0,0.0,0.0
7,-0.1192070337714741,0.5348747826274309,-0.1192070337714741,-0.5787621275513227,0.0,0.0,0.0,0.0,0.0,0.0
8,-0.6039823044421283,-1.703132787537098,-0.6039823044421283,-0.5787621275513227,0.0,0.0,0.0,0.0,0.0,0.0
9,-0.6039823044421283,-0.8099036231384931,-0.6039823044421283,-0.5787621275513227,0.0,0.0,0.0,0.0,0.0,0.0
10,-0.6039823044421283,-0.7526873105582905,-0.6039823044421283,-0.5787621275513227,0.0,0.0,0.0,0.0,0.0,0.0
11,-0.6039823044421283,-1.8998151499221825,-0.6039823044421283,-0.5787621275513227,0.0,0.0,0.0,0.0,0.0,0.0
12,-0.6039823044421283,-0.5949662172841631,-0.6039823044421283,-0.5787621275513227,0.0,0.0,0.0,0.0,0.0,0.0
13,-0.6039823044421283,0.00046840892955320954,-0.6039823044421283,-0.5787621275513227,0.0,0.0,0.0,0.0,0.0,0.0
14,-0.6039823044421283,0.41493967535789167,-0.6039823044421283,-0.5787621275513227,0.0,0.0,0.0,0.0,0.0,0.0
15,-0.6039823044421283,0.812855989323522,-0.6039823044421283,1.038591564568167,0.0,0.0,0.0,0.0,0.0,0.0
16,1.8198940489111508,1.2834637546286765,1.8198940489111508,1.038591564568167,0.0,0.0,0.0,0.0,0.0,0.0
17,1.8198940489111508,-0.42688025501040516,1.8198940489111508,-0.5787621275513227,0.0,0.0,0.0,0.0,0.0,0.0
18,-0.1192070337714741,-1.00550315836943,-0.1192070337714741,-0.5787621275513227,0.0,0.0,0.0,0.0,0.0,0.0
19,1.8198940489111508,0.9011327785273548,1.8198940489111508,1.038591564568167,0.0,0.0,0.0,0.0,0.0,0.0
20,-0.1192070337714741,-0.46608175929039675,-0.1192070337714741,-0.5787621275513227,0.0,0.0,0.0,0.0,0.0,0.0
21,1.8198940489111508,0.47104182353566815,1.8198940489111508,-0.5787621275513227,0.0,0.0,0.0,0.0,0.0,0.0
22,1.8198940489111508,-0.0517736929954659,1.8198940489111508,-0.5787621275513227,0.0,0.0,0.0,0.0,0.0,0.0
23,-0.6039823044421283,1.1390482645920175,-0.6039823044421283,-0.5787621275513227,0.0,0.0,0.0,0.0,0.0,0.0
24,1.8198940489111508,1.1260959959111707,1.8198940489111508,-0.5787621275513227,0.0,0.0,0.0,0.0,0.0,0.0
25,1.8198940489111508,-0.4984966014227848,1.8198940489111508,-0.5787621275513227,0.0,0.0,0.0,0.0,0.0,0.0
26,0.3655682368991808,-0.12852678180090663,0.3655682368991808,-0.5787621275513227,0.0,0.0,0.0,0.0,0.0,0.0
27,1.8198940489111508,0.8786314747226264,1.8198940489111508,-0.5787621275513227,0.0,0.0,0.0,0.0,0.0,0.0
28,-0.6039823044421283,-1.0853042156379336,-0.6039823044421283,-0.5787621275513227,0.0,0.0,0.0,0.0,0.0,0.0
29,-0.6039823044421283,-1.0693959768833436,-0.6039823044421283,-0.5787621275513227,0.0,0.0,0.0,0.0,0.0,0.0
