instances,feature_kDN,feature_DS,feature_CL,feature_CLD,feature_N2,feature_LSR,feature_Usefulness,feature_F2,feature_F3,feature_F4,algo_bagging,algo_gaussian_nb,algo_gradient_boosting,algo_logistic_regression,algo_random_forest,algo_svc_linear,algo_svc_rbf
1,0.0,0.8413461538461539,0.04786765420942041,0.04786765420942035,0.03845273943795824,0.13281828206507454,0.9100418410041841,0.6637695780774575,0.7822479915761991,0.9007264050749407,9.992007221626415e-16,0.048347080452632904,0.009474398041969694,0.06215252948257342,0.005025167926751225,0.04187965300663743,0.046021518640741346
2,0.0,0.0,0.0018170184609399564,0.001817018460939901,0.1615742772210642,0.12925342125818937,0.7426778242677825,0.6381299787581478,0.6728147269445954,0.707499475131043,0.05268025782891364,0.0017354218353788672,0.005190636492009161,0.00398404641177403,0.05134869911917135,0.026171358760183352,0.035224314405905954
3,0.0,0.0,0.00050754590807911,0.0005075459080791656,0.04391268313040819,0.217967936835059,0.8451882845188284,0.6046830352791632,0.6311920672062507,0.6577010991333381,9.992007221626415e-16,0.0006324888827151725,0.004044987682824236,0.0010782730549813377,9.992007221626415e-16,0.08094607353898808,0.07957338680773943
4,0.0,0.028846153846153855,0.00036030097986716747,0.000360300979867223,0.08393576294842686,0.2786484677082287,0.8773946360153256,0.6996489469683648,0.7011660868895881,0.7026832268108114,9.992007221626415e-16,0.00043729917194320733,0.006691609288938617,0.0005173523673960266,9.992007221626415e-16,0.08969506871430118,0.09175268679318577
5,0.8,0.9951923076923077,0.9595825095291518,0.9595825095291517,0.7627415605052636,0.006276206324488205,1.0,0.8992409673582197,0.9020496503438011,0.9048583333293825,18.420680743952364,3.283010213414351,4.1338316020141255,3.104958539147817,18.87882610988944,3.632407849800906,3.733018052537761
6,0.0,0.0,0.0009560567659976371,0.0009560567659976371,0.08348604392282655,0.1768347172665838,0.7719665271966527,0.6419185585502786,0.6487844981393269,0.6556504377283754,9.992007221626415e-16,0.00127978097220093,0.00398871191250553,0.0020605896795846085,9.992007221626415e-16,0.0623337521566146,0.0596185744898699
7,0.2,0.9375,0.041637549396644324,0.041637549396644324,0.47461257144366564,0.0391424399846542,0.9770114942528736,0.6954679251000029,0.7445347425069981,0.7936015599139933,9.992007221626415e-16,0.04555231004460888,0.21771684544405573,0.03379936759461636,0.4473869442059527,0.061567420055633613,0.06587511256331682
8,0.0,0.0,0.0006448712844941973,0.0006448712844942528,0.09435952284526772,0.32501721895561086,0.8514644351464435,0.5647998580122612,0.6680905804915915,0.7713813029709219,9.992007221626415e-16,0.0004996985105690003,0.00684455674738164,0.0014916124064625383,9.992007221626415e-16,0.032296821077714644,0.03213215531823162
9,0.0,0.0,1.0301504850263044e-05,1.0301504850318555e-05,0.07972948897733012,0.3944024136053209,0.9309623430962343,0.547677753112384,0.5501605218806674,0.5526432906489509,9.992007221626415e-16,6.792721522131832e-06,0.003097846916126794,4.0456033915509934e-05,9.992007221626415e-16,0.07818994726581585,0.07756386000358825
10,0.6,0.9903846153846154,0.863633060005084,0.863633060005084,0.4841241733599525,0.008738675837933479,1.0,0.8122169231185038,0.8228003958709513,0.8333838686233987,1.1512925464970227,2.0320190243823175,2.126856399023836,1.817214683161077,1.0643158929353038,2.6990307110684784,2.9123282275967655
11,0.0,0.8798076923076923,0.0050086818361309016,0.0050086818361309016,0.13617749528557033,0.11626301277069409,0.8582375478927203,0.7142888858146325,0.8182562124952735,0.9222235391759145,9.992007221626415e-16,0.005021475152103166,0.005280695405258771,0.00657891361886657,0.01005033585350145,0.048770815494431935,0.05606771829496729
12,0.0,0.8413461538461539,0.12871921504785377,0.12871921504785377,0.284975704644578,0.08942043580212895,0.9497907949790795,0.7018192890512986,0.8270349355520248,0.9522505820527508,9.992007221626415e-16,0.15168839598960626,0.049135009657166474,0.16148805763787433,0.04616730560139805,0.09384969640612152,0.06504416786053621
13,0.0,0.625,0.1768659553936589,0.1768659553936589,0.20192775165936705,0.06282320005599841,0.9748953974895398,0.7254531087475484,0.8514697893004024,0.9774864698532564,9.992007221626415e-16,0.21714391699173913,0.037516498303789586,0.22005199784498108,0.030512350918887314,0.11568125032559276,0.10145894601489736
14,0.0,0.0,0.0002119510445617312,0.0002119510445617867,0.11683723003936586,0.27027458083199424,0.9121338912133892,0.5257550268071254,0.614428181239786,0.7031013356724467,9.992007221626415e-16,0.00018686821031901868,0.004502448472554573,0.0003795347093548397,9.992007221626415e-16,0.08650342399010073,0.07905518385336124
15,0.0,0.625,0.013553600908483232,0.013553600908483232,0.3011923994435103,0.045252963269221694,0.9456066945606695,0.7147989520977605,0.7275631648686787,0.740327377639597,9.992007221626415e-16,0.01148006099174324,0.012418351731931567,0.02365919710245484,0.041690804469526006,0.03130709189356259,0.028388922253007993
16,0.0,0.625,0.028986819490522175,0.02898681949052223,0.11183968129872557,0.1003386386155497,0.8305439330543933,0.7338049614536093,0.7592104711681784,0.7846159808827474,9.992007221626415e-16,0.03233565655024648,0.021175017806114808,0.03940318940822186,9.992007221626415e-16,0.02062406757373359,0.013818880242750537
17,0.2,0.9903846153846154,0.20093448865252517,0.2009344886525251,0.36789729467407817,0.028399380247993336,0.9853556485355649,0.8030009177783226,0.8490274946481742,0.8950540715180256,0.35667494393873245,0.24591856783233568,0.27453534622570364,0.26798089032522887,0.39526976328429736,0.11898882941698172,0.11826439857281412
18,0.0,0.9807692307692307,0.003164238717643819,0.0031642387176437636,0.23509250090353107,0.22785596846718068,0.9865900383141762,0.5126231996106653,0.6399828267001655,0.7673424537896658,0.10536051565782628,0.003038475627797672,0.049524804917202146,0.00602645237878099,0.13393972257780062,0.07051494084319125,0.07318525921978786
19,0.8,0.9807692307692307,0.10489652804466776,0.10489652804466776,0.5872314960591897,0.029321110283402,0.9832635983263598,0.8035814446294007,0.8096155973552449,0.8156497500810891,0.7135581778200728,0.12198712904579556,0.23311229417430246,0.1402243119855433,0.5143099584240374,0.05233990766021263,0.051865271019137134
20,0.2,0.9230769230769231,0.005385267245639147,0.0053852672456392026,0.6013384003917579,0.022866315372910877,0.8908045977011494,0.6708793700429113,0.8230816772994417,0.9752839845559721,9.992007221626415e-16,0.004545953807786979,0.009670273875531803,0.008352759517626495,0.05268025782891364,0.04587252053246619,0.04883169386833941
21,0.6,0.625,0.03779669006264286,0.03779669006264286,0.6161494519768116,0.00757856035156745,0.9686192468619247,0.7542813366667512,0.764922685671467,0.7755640346761828,0.05268025782891364,0.040660366625742794,0.018916270380675598,0.051602390235031007,0.30440301606309716,0.022887018747862815,0.02419602630721706
22,0.0,0.7980769230769231,0.005733473751551643,0.005733473751551699,0.14713003615923814,0.19028001026541574,0.8556485355648535,0.5817055840384772,0.7112743727805483,0.8408431615226194,9.992007221626415e-16,0.005299761637763261,0.01461591711211306,0.008611772461663045,0.02564664719377579,0.03152749507022776,0.03513037281508914
23,0.0,0.7980769230769231,0.012184833896644931,0.012184833896644931,0.045399928261911304,0.13126453318130482,0.891213389121339,0.6385408219558846,0.7269058262206132,0.8152708304853418,9.992007221626415e-16,0.014530368649187088,0.01398886217520949,0.018480160462143846,9.992007221626415e-16,0.03410692963524335,0.034607043352534214
24,0.0,0.028846153846153855,2.1744401876855335e-05,2.1744401876910846e-05,0.16608211457098243,0.37077897622029177,0.9386973180076629,0.5878749240276712,0.6191908446574741,0.6505067652872769,9.992007221626415e-16,1.9260199886097056e-05,0.004485643013786801,4.178695356543574e-05,9.992007221626415e-16,0.08378420209006135,0.0832265673264331
25,0.0,0.625,0.01818320755944003,0.018183207559440084,0.17220401490201032,0.07716535441727963,0.8472803347280334,0.7357573796841019,0.739232478064562,0.7427075764450222,9.992007221626415e-16,0.021305951276885143,0.011743151932191019,0.025531854200920953,9.992007221626415e-16,0.024151899532254897,0.016593849977786013
26,0.2,0.028846153846153855,0.0038600077754267215,0.003860007775426777,0.37154479985811517,0.03465829750648362,0.8639846743295019,0.6711391851858319,0.8042490483421578,0.9373589114984838,9.992007221626415e-16,0.004514248527264871,0.010950480686497153,0.006054148769108294,0.020202707317519466,0.04889061110932885,0.04280771592707457
27,0.0,0.7211538461538461,0.001824479232556353,0.001824479232556353,0.18554550365108724,0.15200269923564708,0.9291187739463601,0.5975267425652281,0.7977713533990488,0.9980159642328695,9.992007221626415e-16,0.001608733811535621,0.012230034054729997,0.0023856967079862864,0.005025167926751225,0.05289095355424151,0.05053470408489062
28,0.0,0.0,0.009824665584248105,0.009824665584248105,0.12961993630295365,0.2101664991733158,0.8849372384937239,0.5887017118154971,0.7919081461191024,0.9951145804227077,9.992007221626415e-16,0.012363747208153003,0.005536606797350111,0.019743518408932362,0.010101353658760233,0.010601602038672086,0.013405271037520962
29,0.0,0.028846153846153855,6.788931709889034e-05,6.788931709883483e-05,0.18691077171550496,0.32061017590348106,0.9061302681992337,0.6308699558254283,0.6496038886679663,0.6683378215105042,9.992007221626415e-16,7.75297198431618e-05,0.006569007781344685,9.894833511662137e-05,0.015229603742354787,0.07740429316230785,0.08303495779051748
30,0.0,0.028846153846153855,0.0010960507374077055,0.001096050737407761,0.04501264615926015,0.1463508030157395,0.8448275862068966,0.6749047336197113,0.7434314790402328,0.8119582244607543,9.992007221626415e-16,0.0009161168641213882,0.006651661948098747,0.001604704373833716,9.992007221626415e-16,0.0704525135305727,0.06575104696309457
31,0.2,0.8221153846153846,0.01205240512228678,0.012052405122286836,0.13258698390447243,0.0660021676521191,0.9444444444444444,0.6700518391219936,0.7739410025803143,0.877830166038635,0.11157177565710535,0.011999501198782339,0.012598005083473307,0.010614705421504058,0.08391355532175104,0.06144178801920451,0.05645970744460217
32,0.4,0.9471153846153846,0.2257045598296863,0.22570455982968624,0.6342711898126838,0.02425052678999765,0.9874476987447699,0.6883907548069822,0.7760472337811773,0.8637037127553725,0.8573992140459633,0.2995035021901233,0.06320114524276688,0.28516152887588186,0.328504066972036,0.16539821671103333,0.16615644069849256
33,0.0,0.0,6.200011109325221e-05,6.20001110931967e-05,0.05085163154451344,0.3175500068887643,0.9225941422594143,0.5169407372373874,0.6132966621295097,0.7096525870216319,9.992007221626415e-16,8.613003697054023e-05,0.0045295043125359435,0.00024113759198047608,0.020202707317519466,0.07345267378408513,0.07033744587073529
34,0.0,0.7211538461538461,0.11409988653798664,0.1140998865379867,0.03816119826752673,0.06520666602604953,0.9693486590038314,0.8292318626367353,0.8643243012466623,0.8994167398565892,9.992007221626415e-16,0.10315741137557463,0.026438310788072194,0.12386053790942846,0.2059428379555436,0.03132816411607572,0.0324978928429932
35,0.0,0.028846153846153855,0.007990553748950968,0.007990553748950968,0.05096293495644166,0.15558065743115204,0.8275862068965517,0.7986664613000874,0.8205667474962843,0.8424670336924813,9.992007221626415e-16,0.008411747009043131,0.010545123726883206,0.01070479651378992,0.010101353658760233,0.04032042596674969,0.03206496217525765
36,0.0,0.0,0.0011918465313465187,0.0011918465313465743,0.08444547570444894,0.27938439469632786,0.8117154811715481,0.5897861210810944,0.6772674853784059,0.7647488496757173,9.992007221626415e-16,0.0017235928075318757,0.0055492195964437436,0.002547028694434559,0.030671815120526014,0.022662942082233607,0.019173876297937646
37,0.0,0.625,0.050238724368794285,0.050238724368794285,0.17250291527686068,0.10435814061412473,0.8598326359832635,0.7430381810875569,0.7831743465549837,0.8233105120224106,9.992007221626415e-16,0.056869688251531145,0.013330698732975078,0.07650994246457532,9.992007221626415e-16,0.02685258448874528,0.02552344490871233
38,0.0,0.9230769230769231,0.03132016800304416,0.03132016800304421,0.20816857260238697,0.09482171987529645,0.9195402298850575,0.803340292732584,0.8911702007130575,0.9790001086935312,9.992007221626415e-16,0.028354216172070824,0.021724654250577617,0.03780515021717769,9.992007221626415e-16,0.01690929970771251,0.024333877041990505
39,0.0,0.625,0.0010107582135706616,0.0010107582135706061,0.03469320205570081,0.2066496137889124,0.8535564853556485,0.5714700046122098,0.6517439177443786,0.7320178308765474,9.992007221626415e-16,0.0008254566532639894,0.005677708429918753,0.002250144135575719,9.992007221626415e-16,0.061258267299302394,0.056344431598751354
40,0.4,0.9903846153846154,0.35928278185139273,0.35928278185139273,0.7818751043953174,0.009549866455669171,1.0,0.8376817708319683,0.8933044278702484,0.9489270849085287,0.7803238741323343,0.44258378024353306,0.6460555906858051,0.44072274901187325,0.9445759076183522,0.365982751867306,0.31628927548190133
41,0.2,0.9663461538461539,0.1851261992108918,0.1851261992108918,0.4734144002552416,0.03780457081377391,0.9789272030651341,0.9091385705521866,0.9135124137337691,0.9178862569153516,0.164252033486018,0.1816942238882029,0.13134460631659414,0.2160686139862308,0.13485559356527224,0.0735047569892213,0.06809466437366464
42,0.0,0.028846153846153855,0.000853822008554439,0.0008538220085543835,0.09712946931544819,0.239851964601891,0.8659003831417624,0.7141510431922851,0.7321979468467745,0.750244850501264,9.992007221626415e-16,0.0009072218111516409,0.005370053124087634,0.0013311738269687747,9.992007221626415e-16,0.0862397328845227,0.08200708826181591
