instances,feature_N2,algo_random_forest
1,0.5,0.1743533871447778
2,0.33333333333333337,0.01005033585350145
3,0.4,0.3011050927839216
4,0.4285714285714286,0.4307829160924542
5,0.5714285714285714,0.843970070294529
6,0.5,0.35667494393873245
7,0.30000000000000004,0.01005033585350145
8,0.4,0.01005033585350145
9,0.5,0.4155154439616658
10,0.5,0.31471074483970024
11,0.5,0.31471074483970024
12,0.4285714285714286,0.08338160893905101
13,0.16666666666666674,0.01005033585350145
14,0.2500000000000001,0.05129329438755058
15,0.2666666666666667,0.040821994520255166
16,0.5,0.3011050927839216
17,0.5714285714285714,0.7765287894989963
18,0.5,0.4462871026284195
19,0.6666666666666667,0.5621189181535413
20,0.33333333333333337,0.2231435513142097
21,0.41666666666666674,0.13926206733350766
22,0.5714285714285714,0.8915981192837836
23,0.4375,0.07257069283483537
24,0.4444444444444444,0.23572233352106983
25,0.4444444444444444,0.16251892949777494
26,0.5,0.5108256237659907
27,0.2727272727272727,0.030459207484708574
28,0.4285714285714286,1.4271163556401458
29,0.6,0.941608539858445
30,0.36363636363636376,0.06187540371808753
31,0.4285714285714286,0.07257069283483537
32,0.4,0.040821994520255166
33,0.41666666666666674,0.040821994520255166
34,0.5384615384615384,1.3862943611198906
35,0.3076923076923078,0.09431067947124129
36,0.5,0.15082288973458366
37,0.2727272727272727,0.020202707317519466
38,0.4285714285714286,9.992007221626415e-16
39,0.3846153846153847,0.020202707317519466
40,0.5714285714285714,2.3025850929940455
41,0.5,0.4780358009429998
42,0.5,1.1394342831883648
43,0.5,0.7339691750802004
44,0.4444444444444444,0.40047756659712525
45,0.375,0.040821994520255166
46,0.5,1.0216512475319814
47,0.4285714285714286,0.020202707317519466
48,0.22222222222222232,0.030459207484708574
49,0.5,3.2188758248682006
50,0.4285714285714286,0.4307829160924542
51,0.5,0.4307829160924542
52,0.4444444444444444,0.09431067947124129
53,0.5714285714285714,3.506557897319982
54,0.5,0.19845093872383832
55,0.625,1.4271163556401458
56,0.3846153846153847,0.01005033585350145
57,0.5,0.13926206733350766
58,0.33333333333333337,0.01005033585350145
59,0.5,2.3025850929940455
60,0.41666666666666674,0.12783337150988489
61,0.33333333333333337,0.15082288973458366
62,0.36363636363636376,0.7133498878774648
63,0.4444444444444444,9.992007221626415e-16
64,0.5714285714285714,0.6348782724359695
65,0.5,1.8325814637483102
66,0.4444444444444444,0.6539264674066639
67,0.6,2.120263536200091
68,0.375,0.21072103131565253
69,0.33333333333333337,9.992007221626415e-16
70,0.4,0.020202707317519466
71,0.33333333333333337,0.4462871026284195
72,0.5,1.5606477482646683
73,0.36363636363636376,9.992007221626415e-16
74,0.4444444444444444,0.31471074483970024
75,0.5,0.6539264674066639
76,0.33333333333333337,0.06187540371808753
77,0.6,2.0402208285265546
78,0.5555555555555556,1.0216512475319814
79,0.4,0.05129329438755058
80,0.33333333333333337,0.030459207484708574
81,0.375,0.13926206733350766
82,0.4375,0.06187540371808753
83,0.5,0.6348782724359695
84,0.5,0.6539264674066639
85,0.33333333333333337,9.992007221626415e-16
86,0.4444444444444444,0.37106368139083207
87,0.30000000000000004,0.020202707317519466
88,0.4444444444444444,0.040821994520255166
89,0.5555555555555556,1.6607312068216509
90,0.375,0.030459207484708574
91,0.5,0.9942522733438669
92,0.33333333333333337,0.030459207484708574
93,0.5,0.37106368139083207
94,0.4545454545454546,0.16251892949777494
95,0.4545454545454546,0.06187540371808753
96,0.4444444444444444,0.13926206733350766
97,0.22222222222222232,0.01005033585350145
98,0.2727272727272727,0.01005033585350145
99,0.5,0.01005033585350145
100,0.6,1.7147984280919266
101,0.18181818181818188,9.992007221626415e-16
102,0.5,0.19845093872383832
103,0.4285714285714286,0.10536051565782628
104,0.5,0.2231435513142097
105,0.4285714285714286,0.13926206733350766
106,0.5,2.0402208285265546
107,0.19999999999999996,9.992007221626415e-16
108,0.5,0.916290731874155
109,0.30000000000000004,0.16251892949777494
110,0.3076923076923078,0.020202707317519466
111,0.3846153846153847,0.06187540371808753
112,0.6,1.0498221244986778
113,0.33333333333333337,0.31471074483970024
114,0.33333333333333337,0.21072103131565253
115,0.4444444444444444,2.0402208285265546
116,0.2727272727272727,9.992007221626415e-16
117,0.5,0.7985076962177716
118,0.5,0.40047756659712525
119,0.40000000000000013,0.07257069283483537
120,0.5555555555555556,1.1086626245216111
121,0.6,0.2744368457017603
122,0.2727272727272727,9.992007221626415e-16
123,0.5,1.1394342831883648
124,0.5384615384615384,0.9675840262617056
125,0.375,0.07257069283483537
126,0.5,0.01005033585350145
127,0.2857142857142857,0.01005033585350145
128,0.30000000000000004,0.01005033585350145
129,0.4285714285714286,0.4780358009429998
130,0.22222222222222232,9.992007221626415e-16
131,0.4444444444444444,0.08338160893905101
132,0.4285714285714286,1.7147984280919266
133,0.36363636363636376,0.020202707317519466
134,0.5,0.40047756659712525
135,0.5,0.5108256237659907
136,0.6,0.4780358009429998
137,0.2857142857142857,0.07257069283483537
138,0.41666666666666674,0.020202707317519466
139,0.4444444444444444,0.5108256237659907
140,0.2727272727272727,9.992007221626415e-16
141,0.4285714285714286,0.11653381625595151
142,0.5555555555555556,0.8675005677047231
143,0.375,0.020202707317519466
144,0.5,2.659260036932778
145,0.3846153846153847,0.01005033585350145
146,0.41666666666666674,0.07257069283483537
147,0.4444444444444444,0.2876820724517809
148,0.375,0.01005033585350145
149,0.5555555555555556,0.35667494393873245
150,0.4444444444444444,0.2231435513142097
151,0.4545454545454546,0.15082288973458366
152,0.4444444444444444,1.1394342831883648
153,0.30000000000000004,0.020202707317519466
154,0.4285714285714286,0.4307829160924542
155,0.5555555555555556,0.7133498878774648
156,0.4,0.09431067947124129
157,0.5,0.4307829160924542
158,0.375,0.020202707317519466
159,0.6,1.5141277326297755
160,0.4444444444444444,0.05129329438755058
161,0.4,0.18632957819149348
162,0.30000000000000004,9.992007221626415e-16
163,0.33333333333333337,0.2613647641344075
164,0.2500000000000001,9.992007221626415e-16
165,0.4,0.2613647641344075
166,0.22222222222222232,9.992007221626415e-16
167,0.4,0.05129329438755058
168,0.5,0.21072103131565253
169,0.19999999999999996,9.992007221626415e-16
170,0.375,0.020202707317519466
171,0.33333333333333337,0.09431067947124129
172,0.2727272727272727,0.09431067947124129
173,0.30000000000000004,9.992007221626415e-16
174,0.46153846153846156,0.16251892949777494
