instances,feature_Harmfulness,feature_Usefulness,algo_random_forest
1,0.7222222222222222,1.0,4.605170185988091
2,0.0,0.9560439560439561,0.05129329438755058
3,0.0,0.5934065934065934,0.07257069283483537
4,0.01098901098901099,0.9010989010989011,0.2613647641344075
5,0.0,0.7252747252747253,0.01005033585350145
6,0.01098901098901099,0.967032967032967,0.020202707317519466
7,0.0,0.8571428571428572,0.01005033585350145
8,0.0,0.8241758241758241,0.01005033585350145
9,0.0,0.8351648351648352,9.992007221626415e-16
10,0.01098901098901099,0.8901098901098901,0.3011050927839216
11,0.0,0.978021978021978,0.06187540371808753
12,0.0,0.7362637362637363,0.01005033585350145
13,0.0,0.8681318681318682,9.992007221626415e-16
14,0.0,0.7362637362637363,0.020202707317519466
15,0.01098901098901099,0.978021978021978,0.4780358009429998
16,0.0,0.9230769230769231,0.07257069283483537
17,0.1111111111111111,0.9444444444444444,1.5141277326297755
18,0.0,0.9120879120879121,0.01005033585350145
19,0.0,0.7582417582417582,0.01005033585350145
20,0.0,0.6043956043956045,9.992007221626415e-16
21,0.0,0.945054945054945,0.5978370007556204
22,0.01098901098901099,0.9340659340659341,0.21072103131565253
23,0.0,0.7582417582417582,0.01005033585350145
24,0.0,0.8791208791208791,0.09431067947124129
25,0.0,0.6813186813186813,9.992007221626415e-16
26,0.0,0.945054945054945,0.10536051565782628
27,0.0,0.978021978021978,0.342490308946776
28,0.0,0.989010989010989,0.06187540371808753
29,0.0,0.8241758241758241,0.020202707317519466
30,0.0,0.8791208791208791,0.2484613592984996
31,0.0,0.7472527472527473,0.05129329438755058
32,0.1111111111111111,1.0,1.3862943611198906
33,0.0,0.8461538461538461,0.020202707317519466
34,0.0,0.6483516483516483,0.08338160893905101
35,0.0,0.9560439560439561,0.07257069283483537
36,0.01098901098901099,0.9560439560439561,0.4780358009429998
37,0.0,0.8131868131868132,0.07257069283483537
38,0.0,0.6263736263736264,9.992007221626415e-16
39,0.0,0.7692307692307692,9.992007221626415e-16
40,0.0,0.6813186813186813,0.01005033585350145
41,0.0,0.8461538461538461,0.020202707317519466
42,0.0,0.6483516483516483,0.01005033585350145
43,0.0,0.6593406593406593,0.08338160893905101
44,0.0,0.9230769230769231,0.12783337150988489
45,0.0,0.8461538461538461,9.992007221626415e-16
46,0.0,0.9010989010989011,0.31471074483970024
47,0.0,0.8351648351648352,0.020202707317519466
48,0.01098901098901099,0.967032967032967,0.15082288973458366
49,0.05555555555555555,0.8888888888888888,0.5978370007556204
50,0.0,0.8888888888888888,0.616186139423817
51,0.0,0.6043956043956045,0.09431067947124129
52,0.3333333333333333,1.0,1.7147984280919266
53,0.0,0.8021978021978022,9.992007221626415e-16
54,0.0,0.8571428571428572,0.15082288973458366
55,0.1111111111111111,1.0,1.8325814637483102
56,0.1111111111111111,1.0,0.6733445532637656
57,0.0,0.8241758241758241,0.12783337150988489
58,0.0,0.6703296703296704,0.020202707317519466
59,0.0,0.8571428571428572,0.07257069283483537
60,0.05555555555555555,1.0,0.941608539858445
61,0.0,0.9120879120879121,0.030459207484708574
62,0.0,0.9230769230769231,0.13926206733350766
63,0.01098901098901099,0.945054945054945,0.40047756659712525
64,0.01098901098901099,0.9560439560439561,0.07257069283483537
65,0.0,0.7692307692307692,0.020202707317519466
66,0.01098901098901099,0.8351648351648352,0.31471074483970024
67,0.9444444444444444,1.0,1.6094379124341003
68,0.4444444444444444,1.0,1.9661128563728327
69,0.0,0.8571428571428572,0.10536051565782628
70,0.9444444444444444,1.0,1.3093333199837622
71,0.0,0.8241758241758241,0.01005033585350145
72,0.0,0.7472527472527473,0.040821994520255166
73,0.0,0.8021978021978022,0.020202707317519466
74,0.0,0.945054945054945,0.21072103131565253
75,0.0,0.8571428571428572,0.12783337150988489
76,0.0,0.7472527472527473,0.01005033585350145
77,0.0,0.8888888888888888,0.4942963218147801
78,0.0,1.0,0.07257069283483537
79,0.0,0.8351648351648352,0.020202707317519466
80,0.0,0.7142857142857143,0.07257069283483537
81,0.0,0.8571428571428572,9.992007221626415e-16
82,0.0,0.8681318681318682,0.05129329438755058
83,0.0,0.8461538461538461,0.040821994520255166
84,0.0,0.6483516483516483,0.01005033585350145
85,0.0,0.8571428571428572,0.12783337150988489
86,0.0,1.0,1.5141277326297755
87,0.0,0.9560439560439561,0.01005033585350145
88,0.01098901098901099,0.978021978021978,0.2744368457017603
89,0.01098901098901099,0.6263736263736264,0.21072103131565253
90,0.01098901098901099,0.9120879120879121,0.040821994520255166
91,0.0,0.7582417582417582,0.06187540371808753
92,0.3888888888888889,0.9444444444444444,0.8915981192837836
93,0.01098901098901099,0.9560439560439561,0.2231435513142097
94,0.0,0.8021978021978022,0.020202707317519466
95,0.01098901098901099,0.967032967032967,0.3285040669720361
96,0.0,0.8461538461538461,0.01005033585350145
97,0.0,0.6703296703296704,0.01005033585350145
98,0.4444444444444444,0.9444444444444444,2.5257286443082556
99,0.1111111111111111,0.8888888888888888,0.9675840262617056
100,0.0,1.0,0.6539264674066639
101,0.02197802197802198,0.967032967032967,1.3093333199837622
102,0.16666666666666666,0.8888888888888888,0.6733445532637656
103,0.0,0.8131868131868132,0.01005033585350145
104,0.01098901098901099,0.9120879120879121,0.040821994520255166
105,0.0,0.8571428571428572,0.01005033585350145
106,0.0,0.8351648351648352,0.020202707317519466
107,0.0,0.8681318681318682,0.05129329438755058
108,0.0,0.8021978021978022,0.10536051565782628
109,0.0,0.9230769230769231,0.030459207484708574
