instances,feature_Usefulness,algo_random_forest
1,0.8686868686868687,0.045440628440884465
2,0.7575757575757576,0.09559357516671664
3,0.9494949494949495,0.9221689429655138
4,0.7373737373737373,0.011695841126438379
5,0.7373737373737373,0.03260667500072526
6,0.696969696969697,0.05819138903772137
7,0.7777777777777778,0.05819138903772137
8,0.7878787878787878,0.013480160791286847
9,0.7676767676767677,0.03260667500072526
10,0.6767676767676767,0.03850259872754906
11,0.6666666666666667,0.02062034140677756
12,0.9,1.27974537259116
13,0.6767676767676767,0.681511827342419
14,0.98989898989899,0.023750108798315413
15,0.8686868686868687,0.03543436924808617
16,0.8787878787878788,0.011695841126438379
17,0.7676767676767677,0.03543436924808617
18,0.7070707070707071,0.49635757191168706
19,0.898989898989899,0.04183099095118885
20,0.7171717171717171,0.06316880496335059
21,0.797979797979798,0.03260667500072526
22,0.9191919191919192,0.04935413095663919
23,0.8888888888888888,0.013480160791286847
24,0.6262626262626263,0.023750108798315413
25,0.6767676767676767,0.013480160791286847
26,0.9797979797979798,0.1253032588332061
27,0.9393939393939394,0.03543436924808617
28,0.8080808080808081,0.03623240928505107
29,0.9292929292929293,0.015534588929804324
30,0.7676767676767677,0.03260667500072526
31,0.7676767676767677,0.07267280103119997
32,0.8686868686868687,0.045440628440884465
33,0.6868686868686869,0.03260667500072526
34,0.7878787878787878,0.0273484546125638
35,1.0,0.4525282996997186
36,0.98989898989899,0.023750108798315413
37,0.7474747474747474,0.03260667500072526
38,0.9,0.028080759291044873
39,1.0,0.7940669193375801
40,0.8484848484848485,0.015534588929804324
41,0.98989898989899,0.04935413095663919
42,0.8,0.03719820798580131
43,0.7777777777777778,0.013480160791286847
44,0.9,0.4486906522210355
45,0.8383838383838383,0.14323013284190297
46,0.696969696969697,0.0273484546125638
47,0.6868686868686869,0.03850259872754906
48,0.7474747474747474,0.011695841126438379
49,0.7676767676767677,0.06316880496335059
50,0.6868686868686869,0.30306469130395297
51,1.0,0.6630252772334835
52,0.9494949494949495,0.09559357516671664
53,0.6767676767676767,0.04183099095118885
54,0.898989898989899,0.18642375267499708
55,0.9494949494949495,0.017899327882020765
56,0.6666666666666667,0.04168289329174905
57,1.0,0.02438723187572155
58,0.8080808080808081,0.03543436924808617
59,0.6767676767676767,0.013480160791286847
60,0.6666666666666667,0.686471502849416
61,0.7373737373737373,0.03543436924808617
62,0.8383838383838383,0.011695841126438379
63,0.7474747474747474,0.015534588929804324
64,0.7878787878787878,0.30963436036509095
65,0.7474747474747474,0.031483453850443405
66,0.9393939393939394,0.15301503151922138
67,0.8888888888888888,0.03543436924808617
68,0.9696969696969697,0.045440628440884465
69,0.797979797979798,0.031483453850443405
70,0.7373737373737373,0.017899327882020765
71,0.8080808080808081,0.013480160791286847
72,0.7777777777777778,0.03260667500072526
73,0.9494949494949495,0.03543436924808617
74,0.7777777777777778,0.09488621099420887
75,0.9191919191919192,0.011695841126438379
76,0.7272727272727273,0.03260667500072526
77,0.7575757575757576,0.03260667500072526
78,0.7171717171717171,0.9127325093706811
79,0.9595959595959596,1.0106510631166983
80,0.6767676767676767,0.16351893417643804
81,0.7676767676767677,0.03260667500072526
82,0.7171717171717171,0.03543436924808617
83,0.7171717171717171,0.03260667500072526
84,0.9090909090909091,0.30306469130395297
85,0.9696969696969697,0.04183099095118885
86,0.8181818181818181,0.03260667500072526
87,0.696969696969697,0.053595737776349336
88,0.9696969696969697,0.432017031544263
89,0.8383838383838383,0.011695841126438379
90,0.7272727272727273,0.03260667500072526
91,0.6666666666666667,0.05819138903772137
92,0.9494949494949495,0.017899327882020765
93,0.8383838383838383,0.686471502849416
94,0.8484848484848485,0.011695841126438379
95,0.7373737373737373,0.011695841126438379
96,0.9090909090909091,0.03260667500072526
97,0.8,0.16760682491264567
98,0.8383838383838383,0.03850259872754906
99,0.696969696969697,0.02062034140677756
100,0.9595959595959596,0.03543436924808617
101,0.9191919191919192,0.03543436924808617
102,0.8383838383838383,0.03260667500072526
103,0.898989898989899,0.03543436924808617
104,0.8282828282828283,0.011695841126438379
105,0.7272727272727273,1.0106510631166983
106,0.9,0.48010399805507953
107,0.8888888888888888,0.4428592211930061
108,0.8181818181818181,0.04168289329174905
109,0.8585858585858586,0.023750108798315413
