instances,feature_Usefulness,algo_random_forest
1,0.9605839416058394,0.1743533871447778
2,0.9430656934306569,0.01005033585350145
3,0.9985401459854014,0.3011050927839216
4,0.9737226277372263,0.4307829160924542
5,0.9985401459854014,0.843970070294529
6,0.9985401459854014,0.35667494393873245
7,0.8744525547445255,0.01005033585350145
8,0.9474452554744526,0.01005033585350145
9,1.0,0.4155154439616658
10,0.997080291970803,0.31471074483970024
11,0.997080291970803,0.31471074483970024
12,0.997080291970803,0.08338160893905101
13,0.9751824817518249,0.01005033585350145
14,0.927007299270073,0.05129329438755058
15,0.964963503649635,0.040821994520255166
16,1.0,0.3011050927839216
17,1.0,0.7765287894989963
18,0.9956204379562044,0.4462871026284195
19,1.0,0.5621189181535413
20,0.9868613138686131,0.2231435513142097
21,0.9737226277372263,0.13926206733350766
22,1.0,0.8915981192837836
23,0.9956204379562044,0.07257069283483537
24,0.995575221238938,0.23572233352106983
25,0.9927007299270073,0.16251892949777494
26,0.997080291970803,0.5108256237659907
27,0.8773722627737226,0.030459207484708574
28,0.9941605839416059,1.4271163556401458
29,0.9985401459854014,0.941608539858445
30,0.9416058394160584,0.06187540371808753
31,0.9766423357664233,0.07257069283483537
32,0.9445255474452555,0.040821994520255166
33,0.9737226277372263,0.040821994520255166
34,1.0,1.3862943611198906
35,0.9416058394160584,0.09431067947124129
36,0.9897810218978103,0.15082288973458366
37,0.981021897810219,0.020202707317519466
38,0.9664233576642336,9.992007221626415e-16
39,0.9927007299270073,0.020202707317519466
40,1.0,2.3025850929940455
41,1.0,0.4780358009429998
42,0.9985401459854014,1.1394342831883648
43,0.9778761061946902,0.7339691750802004
44,0.9956204379562044,0.40047756659712525
45,0.9474452554744526,0.040821994520255166
46,1.0,1.0216512475319814
47,0.983941605839416,0.020202707317519466
48,0.8437956204379562,0.030459207484708574
49,1.0,3.2188758248682006
50,0.9911504424778761,0.4307829160924542
51,1.0,0.4307829160924542
52,0.9824817518248176,0.09431067947124129
53,1.0,3.506557897319982
54,0.9927007299270073,0.19845093872383832
55,1.0,1.4271163556401458
56,0.9007299270072993,0.01005033585350145
57,0.9911504424778761,0.13926206733350766
58,0.8875912408759125,0.01005033585350145
59,1.0,2.3025850929940455
60,0.9664233576642336,0.12783337150988489
61,0.9824817518248176,0.15082288973458366
62,0.995575221238938,0.7133498878774648
63,0.983941605839416,9.992007221626415e-16
64,0.997080291970803,0.6348782724359695
65,1.0,1.8325814637483102
66,0.9956204379562044,0.6539264674066639
67,0.995575221238938,2.120263536200091
68,0.945985401459854,0.21072103131565253
69,0.964963503649635,9.992007221626415e-16
70,0.9532846715328467,0.020202707317519466
71,0.997080291970803,0.4462871026284195
72,1.0,1.5606477482646683
73,0.9386861313868613,9.992007221626415e-16
74,0.995575221238938,0.31471074483970024
75,0.995575221238938,0.6539264674066639
76,0.983941605839416,0.06187540371808753
77,1.0,2.0402208285265546
78,0.995575221238938,1.0216512475319814
79,0.9883211678832117,0.05129329438755058
80,0.945985401459854,0.030459207484708574
81,0.995575221238938,0.13926206733350766
82,0.997080291970803,0.06187540371808753
83,0.997080291970803,0.6348782724359695
84,0.9911504424778761,0.6539264674066639
85,0.9094890510948905,9.992007221626415e-16
86,1.0,0.37106368139083207
87,0.9138686131386862,0.020202707317519466
88,0.9766423357664233,0.040821994520255166
89,1.0,1.6607312068216509
90,0.8467153284671532,0.030459207484708574
91,1.0,0.9942522733438669
92,0.8788321167883212,0.030459207484708574
93,1.0,0.37106368139083207
94,0.9985401459854014,0.16251892949777494
95,0.9795620437956204,0.06187540371808753
96,0.9956204379562044,0.13926206733350766
97,0.8116788321167883,0.01005033585350145
98,0.8510948905109489,0.01005033585350145
99,0.9897810218978103,0.01005033585350145
100,0.997080291970803,1.7147984280919266
101,0.9240875912408759,9.992007221626415e-16
102,0.9897810218978103,0.19845093872383832
103,0.9927007299270073,0.10536051565782628
104,0.9956204379562044,0.2231435513142097
105,0.997080291970803,0.13926206733350766
106,0.995575221238938,2.0402208285265546
107,0.8817518248175182,9.992007221626415e-16
108,1.0,0.916290731874155
109,0.9781021897810219,0.16251892949777494
110,0.9576642335766423,0.020202707317519466
111,0.9941605839416059,0.06187540371808753
112,1.0,1.0498221244986778
113,0.9956204379562044,0.31471074483970024
114,0.9867256637168141,0.21072103131565253
115,0.995575221238938,2.0402208285265546
116,0.8510948905109489,9.992007221626415e-16
117,1.0,0.7985076962177716
118,0.9927007299270073,0.40047756659712525
119,0.9927007299270073,0.07257069283483537
120,1.0,1.1086626245216111
121,1.0,0.2744368457017603
122,0.8686131386861313,9.992007221626415e-16
123,0.9985401459854014,1.1394342831883648
124,1.0,0.9675840262617056
125,0.9854014598540146,0.07257069283483537
126,0.9343065693430657,0.01005033585350145
127,0.8218978102189781,0.01005033585350145
128,0.8788321167883212,0.01005033585350145
129,0.995575221238938,0.4780358009429998
130,0.8218978102189781,9.992007221626415e-16
131,0.9985401459854014,0.08338160893905101
132,1.0,1.7147984280919266
133,0.9722627737226277,0.020202707317519466
134,0.9867256637168141,0.40047756659712525
135,0.9941605839416059,0.5108256237659907
136,0.995575221238938,0.4780358009429998
137,0.9153284671532846,0.07257069283483537
138,0.9941605839416059,0.020202707317519466
139,0.9941605839416059,0.5108256237659907
140,0.8627737226277372,9.992007221626415e-16
141,0.962043795620438,0.11653381625595151
142,1.0,0.8675005677047231
143,0.8875912408759125,0.020202707317519466
144,0.995575221238938,2.659260036932778
145,0.962043795620438,0.01005033585350145
146,0.9927007299270073,0.07257069283483537
147,0.983941605839416,0.2876820724517809
148,0.9401459854014599,0.01005033585350145
149,0.997080291970803,0.35667494393873245
150,0.9868613138686131,0.2231435513142097
151,0.9868613138686131,0.15082288973458366
152,1.0,1.1394342831883648
153,0.9766423357664233,0.020202707317519466
154,0.9985401459854014,0.4307829160924542
155,1.0,0.7133498878774648
156,0.9737226277372263,0.09431067947124129
157,0.9708029197080292,0.4307829160924542
158,0.964963503649635,0.020202707317519466
159,1.0,1.5141277326297755
160,0.9401459854014599,0.05129329438755058
161,0.9867256637168141,0.18632957819149348
162,0.9051094890510949,9.992007221626415e-16
163,0.995575221238938,0.2613647641344075
164,0.9211678832116789,9.992007221626415e-16
165,0.995575221238938,0.2613647641344075
166,0.8496350364963503,9.992007221626415e-16
167,0.9474452554744526,0.05129329438755058
168,0.9941605839416059,0.21072103131565253
169,0.8394160583941606,9.992007221626415e-16
170,0.9153284671532846,0.020202707317519466
171,0.9591240875912409,0.09431067947124129
172,0.891970802919708,0.09431067947124129
173,0.8248175182481752,9.992007221626415e-16
174,0.9956204379562044,0.16251892949777494
175,1.0,1.9661128563728327
176,0.9985401459854014,0.3285040669720361
177,0.8613138686131387,9.992007221626415e-16
178,0.9766423357664233,0.21072103131565253
179,0.8467153284671532,0.01005033585350145
180,0.995575221238938,0.843970070294529
181,0.9956204379562044,0.31471074483970024
182,0.9956204379562044,0.3856624808119846
183,0.995575221238938,0.8915981192837836
184,0.8540145985401459,9.992007221626415e-16
185,0.995575221238938,0.21072103131565253
186,0.9912408759124087,0.11653381625595151
187,0.9357664233576642,0.040821994520255166
188,0.9503649635036496,9.992007221626415e-16
189,0.9562043795620438,0.06187540371808753
190,0.9854014598540146,0.2876820724517809
191,0.9430656934306569,0.040821994520255166
192,0.997080291970803,0.616186139423817
193,0.997080291970803,0.19845093872383832
194,0.995575221238938,0.4780358009429998
195,0.997080291970803,0.2613647641344075
196,0.9985401459854014,0.12783337150988489
197,1.0,0.342490308946776
198,0.997080291970803,0.12783337150988489
199,0.9226277372262773,9.992007221626415e-16
200,0.9823008849557522,0.616186139423817
201,1.0,0.7550225842780328
202,0.9824817518248176,0.19845093872383832
203,1.0,0.7339691750802004
204,0.9985401459854014,0.8209805520698302
205,0.9956204379562044,0.01005033585350145
206,0.9911504424778761,0.2613647641344075
207,0.9445255474452555,0.030459207484708574
208,0.9985401459854014,0.3285040669720361
209,0.9532846715328467,0.07257069283483537
210,0.9313868613138686,0.020202707317519466
211,0.9751824817518249,0.4307829160924542
212,0.9562043795620438,0.07257069283483537
213,0.9153284671532846,0.01005033585350145
214,0.9854014598540146,9.992007221626415e-16
215,0.9562043795620438,9.992007221626415e-16
216,0.9562043795620438,9.992007221626415e-16
217,0.9985401459854014,0.10536051565782628
218,0.9911504424778761,0.4462871026284195
219,0.997080291970803,0.1743533871447778
220,0.9956204379562044,0.16251892949777494
221,0.9868613138686131,0.040821994520255166
222,0.8992700729927008,9.992007221626415e-16
223,0.995575221238938,0.5447271754416722
224,0.8116788321167883,9.992007221626415e-16
225,0.9824817518248176,0.18632957819149348
226,0.9328467153284672,9.992007221626415e-16
227,0.9867256637168141,0.527632742082372
228,0.9313868613138686,9.992007221626415e-16
229,0.948905109489051,0.020202707317519466
230,0.9911504424778761,0.19845093872383832
231,0.9021897810218978,9.992007221626415e-16
232,0.9781021897810219,0.030459207484708574
233,1.0,0.6733445532637656
234,0.945985401459854,0.08338160893905101
235,1.0,1.8971199848858813
236,0.8087591240875912,9.992007221626415e-16
237,0.9547445255474453,0.01005033585350145
238,1.0,0.7765287894989963
239,1.0,1.2729656758128873
240,0.9927007299270073,0.4462871026284195
