instances,feature_F3,algo_random_forest
1,0.2532588454376158,0.1743533871447778
2,0.2532588454376158,0.01005033585350145
3,0.2532588454376158,0.3011050927839216
4,0.2532588454376158,0.4307829160924542
5,0.2532588454376158,0.843970070294529
6,0.2532588454376158,0.35667494393873245
7,0.2532588454376158,0.01005033585350145
8,0.2532588454376158,0.01005033585350145
9,0.2532588454376158,0.4155154439616658
10,0.2532588454376158,0.31471074483970024
11,0.2532588454376158,0.31471074483970024
12,0.2532588454376158,0.08338160893905101
13,0.2532588454376158,0.01005033585350145
14,0.2532588454376158,0.05129329438755058
15,0.2532588454376158,0.040821994520255166
16,0.2532588454376158,0.3011050927839216
17,0.2532588454376158,0.7765287894989963
18,0.2532588454376158,0.4462871026284195
19,0.2532588454376158,0.5621189181535413
20,0.2532588454376158,0.2231435513142097
21,0.2532588454376158,0.13926206733350766
22,0.2532588454376158,0.8915981192837836
23,0.2532588454376158,0.07257069283483537
24,0.2532588454376158,0.23572233352106983
25,0.2532588454376158,0.16251892949777494
26,0.2532588454376158,0.5108256237659907
27,0.2532588454376158,0.030459207484708574
28,0.2532588454376158,1.4271163556401458
29,0.2532588454376158,0.941608539858445
30,0.2532588454376158,0.06187540371808753
31,0.2532588454376158,0.07257069283483537
32,0.2532588454376158,0.040821994520255166
33,0.2532588454376158,0.040821994520255166
34,0.2532588454376158,1.3862943611198906
35,0.2532588454376158,0.09431067947124129
36,0.2532588454376158,0.15082288973458366
37,0.2532588454376158,0.020202707317519466
38,0.2532588454376158,9.992007221626415e-16
39,0.2532588454376158,0.020202707317519466
40,0.2532588454376158,2.3025850929940455
41,0.2532588454376158,0.4780358009429998
42,0.2532588454376158,1.1394342831883648
43,0.2532588454376158,0.7339691750802004
44,0.2532588454376158,0.40047756659712525
45,0.2532588454376158,0.040821994520255166
46,0.2532588454376158,1.0216512475319814
47,0.2532588454376158,0.020202707317519466
48,0.2532588454376158,0.030459207484708574
49,0.2532588454376158,3.2188758248682006
50,0.2532588454376158,0.4307829160924542
51,0.2532588454376158,0.4307829160924542
52,0.2532588454376158,0.09431067947124129
53,0.2532588454376158,3.506557897319982
54,0.2532588454376158,0.19845093872383832
55,0.2532588454376158,1.4271163556401458
56,0.2532588454376158,0.01005033585350145
57,0.2532588454376158,0.13926206733350766
58,0.2532588454376158,0.01005033585350145
59,0.2532588454376158,2.3025850929940455
60,0.2532588454376158,0.12783337150988489
61,0.2532588454376158,0.15082288973458366
62,0.2532588454376158,0.7133498878774648
63,0.2532588454376158,9.992007221626415e-16
64,0.2532588454376158,0.6348782724359695
65,0.2532588454376158,1.8325814637483102
66,0.2532588454376158,0.6539264674066639
67,0.2532588454376158,2.120263536200091
68,0.2532588454376158,0.21072103131565253
69,0.2532588454376158,9.992007221626415e-16
70,0.2532588454376158,0.020202707317519466
71,0.2532588454376158,0.4462871026284195
72,0.2532588454376158,1.5606477482646683
73,0.2532588454376158,9.992007221626415e-16
74,0.2532588454376158,0.31471074483970024
75,0.2532588454376158,0.6539264674066639
76,0.2532588454376158,0.06187540371808753
77,0.2532588454376158,2.0402208285265546
78,0.2532588454376158,1.0216512475319814
79,0.2532588454376158,0.05129329438755058
80,0.2532588454376158,0.030459207484708574
81,0.2532588454376158,0.13926206733350766
82,0.2532588454376158,0.06187540371808753
83,0.2532588454376158,0.6348782724359695
84,0.2532588454376158,0.6539264674066639
85,0.2532588454376158,9.992007221626415e-16
86,0.2532588454376158,0.37106368139083207
87,0.2532588454376158,0.020202707317519466
88,0.2532588454376158,0.040821994520255166
89,0.2532588454376158,1.6607312068216509
90,0.2532588454376158,0.030459207484708574
91,0.2532588454376158,0.9942522733438669
92,0.2532588454376158,0.030459207484708574
93,0.2532588454376158,0.37106368139083207
94,0.2532588454376158,0.16251892949777494
95,0.2532588454376158,0.06187540371808753
96,0.2532588454376158,0.13926206733350766
97,0.2532588454376158,0.01005033585350145
98,0.2532588454376158,0.01005033585350145
99,0.2532588454376158,0.01005033585350145
100,0.2532588454376158,1.7147984280919266
101,0.2532588454376158,9.992007221626415e-16
102,0.2532588454376158,0.19845093872383832
103,0.2532588454376158,0.10536051565782628
104,0.2532588454376158,0.2231435513142097
105,0.2532588454376158,0.13926206733350766
106,0.2532588454376158,2.0402208285265546
107,0.2532588454376158,9.992007221626415e-16
108,0.2532588454376158,0.916290731874155
109,0.2532588454376158,0.16251892949777494
110,0.2532588454376158,0.020202707317519466
111,0.2532588454376158,0.06187540371808753
112,0.2532588454376158,1.0498221244986778
113,0.2532588454376158,0.31471074483970024
114,0.2532588454376158,0.21072103131565253
115,0.2532588454376158,2.0402208285265546
116,0.2532588454376158,9.992007221626415e-16
117,0.2532588454376158,0.7985076962177716
118,0.2532588454376158,0.40047756659712525
119,0.2532588454376158,0.07257069283483537
120,0.2532588454376158,1.1086626245216111
121,0.2532588454376158,0.2744368457017603
122,0.2532588454376158,9.992007221626415e-16
123,0.2532588454376158,1.1394342831883648
124,0.2532588454376158,0.9675840262617056
125,0.2532588454376158,0.07257069283483537
126,0.2532588454376158,0.01005033585350145
127,0.2532588454376158,0.01005033585350145
128,0.2532588454376158,0.01005033585350145
129,0.2532588454376158,0.4780358009429998
130,0.2532588454376158,9.992007221626415e-16
131,0.2532588454376158,0.08338160893905101
132,0.2532588454376158,1.7147984280919266
133,0.2532588454376158,0.020202707317519466
134,0.2532588454376158,0.40047756659712525
135,0.2532588454376158,0.5108256237659907
136,0.2532588454376158,0.4780358009429998
137,0.2532588454376158,0.07257069283483537
138,0.2532588454376158,0.020202707317519466
139,0.2532588454376158,0.5108256237659907
140,0.2532588454376158,9.992007221626415e-16
141,0.2532588454376158,0.11653381625595151
142,0.2532588454376158,0.8675005677047231
143,0.2532588454376158,0.020202707317519466
144,0.2532588454376158,2.659260036932778
145,0.2532588454376158,0.01005033585350145
146,0.2532588454376158,0.07257069283483537
147,0.2532588454376158,0.2876820724517809
148,0.2532588454376158,0.01005033585350145
149,0.2532588454376158,0.35667494393873245
150,0.2532588454376158,0.2231435513142097
151,0.2532588454376158,0.15082288973458366
152,0.2532588454376158,1.1394342831883648
153,0.2532588454376158,0.020202707317519466
154,0.2532588454376158,0.4307829160924542
155,0.2532588454376158,0.7133498878774648
156,0.2532588454376158,0.09431067947124129
157,0.2532588454376158,0.4307829160924542
158,0.2532588454376158,0.020202707317519466
