instances,instance_hardness
1,0.3254427823745685
2,0.03618139829012712
3,0.8437821732813645
4,0.11858477300657388
5,0.09347294463255174
6,0.3049460163526634
7,0.9821367276689487
8,0.9773667483634472
9,0.2064750544921372
10,0.02863980267659172
11,0.535829484664945
12,0.1863650326166999
13,0.06689339696130325
14,0.4118306989234768
15,0.10790513839972393
16,0.02863980267659172
17,0.41694612448609736
18,0.11158539582745675
19,0.0980802768339678
20,0.0980802768339678
21,0.549035289790148
22,0.1242602154716439
23,0.0980802768339678
24,0.012501866660780347
25,0.047528435528754076
26,0.02263325163655283
27,0.6745572176254315
28,0.10016259109993408
29,0.3485550308133121
30,0.045615630918371175
31,0.10288893180246406
32,0.012501866660780347
33,0.36629116211532275
34,0.0890606708654128
35,0.35840058618137915
36,0.014084084412781306
37,0.0980802768339678
38,0.2058666810275661
39,0.026555940453870996
40,0.18682203006685005
41,0.5843777718600139
42,0.0933749125930664
43,0.08079621632597078
44,0.373780702677287
45,0.10288893180246406
46,0.012501866660780347
47,0.23965957057352183
48,0.43460576601585776
49,0.02863980267659172
50,0.5830538755139026
51,0.01786327233105134
52,0.43460576601585776
53,0.09347294463255174
54,0.03219782058763321
55,0.07693154998571239
56,0.020110203493389767
57,0.22631243783989496
58,0.08079621632597078
59,0.4040706939920812
60,0.10790513839972393
61,0.1863650326166999
62,0.17843097111205675
63,0.045615630918371175
64,0.014084084412781306
65,0.17076379268935415
66,0.02546461805098188
67,0.0980802768339678
68,0.1242602154716439
69,0.07693154998571239
70,0.1863650326166999
71,0.03618139829012712
72,0.02263325163655283
73,0.07693154998571239
74,0.03219782058763321
75,0.014084084412781306
76,0.554779219908648
77,0.3216568989665427
78,0.1242602154716439
79,0.012501866660780347
80,0.11313506182909616
81,0.43460576601585776
82,0.373780702677287
83,0.2805553985583853
84,0.008087650179168016
85,0.003934919029955131
86,0.11313506182909616
87,0.08039729235560245
88,0.5247869088392705
89,0.03219782058763321
90,0.06425381538320418
91,0.10288893180246406
92,0.03219782058763321
93,0.18682203006685005
94,0.25958482192908905
95,0.0980802768339678
96,0.1378686251761474
97,0.5843777718600139
98,0.047528435528754076
99,0.020110203493389767
100,0.05117151165635336
101,0.17076379268935415
102,0.0980802768339678
103,0.1863650326166999
104,0.17376953236327364
105,0.6136833563116345
106,0.23965957057352183
107,0.07693154998571239
108,0.7791923626797588
109,0.0890606708654128
