instances,instance_hardness
1,0.2147921152673531
2,0.037319852300946366
3,0.08118091323329324
4,0.08118091323329324
5,0.9143009702185979
6,0.34412350846523165
7,0.09316306123479356
8,0.08569902978140209
9,0.7087274498317403
10,0.4984164764181436
11,0.2279316628951179
12,0.03189095534243025
13,0.08900237299282532
14,0.34126992987572125
15,0.025154013349172444
16,0.09749743722227278
17,0.11159537392592755
18,0.03189095534243025
19,0.16490795282960402
20,0.08900237299282532
21,0.08118091323329324
22,0.10670835927502187
23,0.24352472833229832
24,0.025154013349172444
25,0.06920990419251305
26,0.08900237299282532
27,0.39203936578280574
28,0.14517557400493808
29,0.1866733406411758
30,0.13904816902565553
31,0.040357539475215254
32,0.1274439794578065
33,0.10201078405615926
34,0.09749743722227278
35,0.31699114129979156
36,0.11159537392592755
37,0.133139102670085
38,0.09316306123479356
39,0.133139102670085
40,0.09749743722227278
41,0.02722945903673568
42,0.3452891463202763
43,0.8207773034885811
44,0.2912725501682597
45,0.09316306123479356
46,0.3627244644162336
47,0.08669686907395291
48,0.036867377897370046
49,0.07464205330195128
50,0.025154013349172444
51,0.07464205330195128
52,0.8207773034885811
53,0.040357539475215254
54,0.1274439794578065
55,0.029470971812422087
56,0.10670835927502187
57,0.32292906817345035
58,0.724859835311636
59,0.08501008306036684
60,0.09316306123479356
61,0.14517557400493808
62,0.2747559722433287
63,0.8562833070853512
64,0.4984164764181436
65,0.3817456551662459
66,0.23689813417442984
67,0.02722945903673568
68,0.06414568087652239
69,0.4208417520202117
70,0.036867377897370046
71,0.040357539475215254
72,0.1581017421119787
73,0.11159537392592755
74,0.13904816902565553
75,0.04363127597782912
76,0.08900237299282532
77,0.5421895950245786
78,0.08118091323329324
79,0.8459709875880965
80,0.1274439794578065
81,0.20138007566046456
82,0.4208417520202117
83,0.39203936578280574
84,0.07750961249773325
85,0.1944906293633406
86,0.12195819554162468
87,0.5534719800090454
88,0.20138007566046456
89,0.025154013349172444
90,0.3259884898174452
91,0.034502589369448056
92,0.2461048968824674
93,0.2147921152673531
94,0.21530011865185417
95,0.02722945903673568
96,0.07464205330195128
97,0.38012592164210735
98,0.13904816902565553
99,0.09336386384351347
100,0.1581017421119787
101,0.6212397366412492
102,0.15402901241190348
103,0.029470971812422087
104,0.4908458771681419
105,0.13904816902565553
106,0.14517557400493808
107,0.03189095534243025
108,0.08569902978140209
109,0.3259884898174452
