instances,feature_LSC,algo_random_forest
1,1.0,0.0
2,0.9696969696969697,0.0
3,1.0,0.0
4,0.946969696969697,0.0
5,0.9848484848484849,0.0
6,1.0,0.0
7,1.0,0.0
8,0.9666666666666667,0.0
9,0.9848484848484849,0.0
10,1.0,0.0
11,0.9848484848484849,0.0
12,0.6875,0.0
13,1.0,0.0
14,0.6875,0.0
15,1.0,0.0
16,1.0,0.0
17,0.9545454545454546,0.0
18,1.0,0.0
19,1.0,0.0
20,0.9924242424242424,0.0
21,1.0,0.0
22,0.9924242424242424,0.0
23,0.9848484848484849,0.0
24,1.0,0.0
25,1.0,0.0
26,0.9666666666666667,0.0
27,0.9666666666666667,0.0
28,0.9772727272727273,0.0
29,0.9242424242424242,0.0
30,0.9848484848484849,0.0
31,1.0,0.0
32,0.9666666666666667,0.0
33,1.0,0.0
34,0.8333333333333334,0.0
35,1.0,0.0
36,0.9848484848484849,0.0
37,0.9772727272727273,0.0
38,0.946969696969697,0.0
39,1.0,0.0
40,1.0,0.0
41,0.9545454545454546,0.0
42,1.0,0.0
43,1.0,0.0
44,1.0,0.0
45,0.9924242424242424,0.0
46,0.9924242424242424,0.0
47,1.0,0.0
48,0.946969696969697,0.0
49,0.9333333333333333,0.0
50,0.9166666666666666,0.0
51,0.9545454545454546,0.0
52,0.9666666666666667,0.0
53,1.0,0.0
54,0.9545454545454546,0.0
55,0.946969696969697,0.0
56,0.9166666666666666,0.0
57,0.9848484848484849,0.0
58,1.0,0.0
59,1.0,0.0
60,1.0,0.0
61,0.9545454545454546,0.0
62,0.9848484848484849,0.0
63,0.9772727272727273,0.0
64,0.9666666666666667,0.0
65,0.9666666666666667,0.0
66,1.0,0.0
67,1.0,0.0
68,0.9666666666666667,0.0
69,0.9696969696969697,0.0
70,0.9166666666666666,0.0
71,1.0,0.0
72,0.9924242424242424,0.0
73,0.9545454545454546,0.0
74,0.9621212121212122,0.0
75,1.0,0.0
76,1.0,0.0
77,0.946969696969697,0.0
78,0.9545454545454546,0.0
79,0.9666666666666667,0.0
80,0.9545454545454546,0.0
81,0.946969696969697,0.0
82,1.0,0.0
83,1.0,0.0
84,1.0,0.0
85,1.0,0.0
86,1.0,0.0
87,1.0,0.0
88,1.0,0.0
89,1.0,0.0
90,0.9545454545454546,0.0
91,0.9545454545454546,0.0
92,1.0,0.0
93,1.0,0.0
94,0.946969696969697,0.0
95,0.946969696969697,0.0
96,1.0,0.0
97,1.0,0.0
98,0.9848484848484849,0.0
99,1.0,0.0
100,1.0,0.0
101,1.0,0.0
102,1.0,0.0
103,0.9924242424242424,0.0
104,1.0,0.0
105,0.6875,0.0
106,0.9545454545454546,0.0
107,0.946969696969697,0.0
108,1.0,0.0
109,1.0,0.0
110,0.946969696969697,0.0
111,1.0,0.0
112,1.0,0.0
113,0.9411764705882353,0.0
114,1.0,0.0
115,1.0,0.0
116,0.946969696969697,0.0
117,0.8333333333333334,0.0
118,1.0,0.0
119,0.9696969696969697,0.0
120,1.0,0.0
121,0.9090909090909091,0.0
122,1.0,0.0
123,1.0,0.0
124,1.0,0.0
125,1.0,0.0
126,1.0,0.0
127,1.0,0.0
128,0.9772727272727273,0.0
129,1.0,0.0
130,0.9924242424242424,0.0
131,1.0,0.0
132,1.0,0.0
133,1.0,0.0
134,0.9666666666666667,0.0
135,1.0,0.0
136,1.0,0.0
137,1.0,0.0
138,0.946969696969697,0.0
139,1.0,0.0
140,1.0,0.0
141,1.0,0.0
142,0.9848484848484849,0.0
143,1.0,0.0
144,1.0,0.0
145,0.9666666666666667,0.0
146,0.9848484848484849,0.0
147,0.9545454545454546,0.0
148,1.0,0.0
149,0.9924242424242424,0.0
150,0.9242424242424242,0.0
151,1.0,0.0
152,0.9924242424242424,0.0
153,1.0,0.0
154,0.9848484848484849,0.0
155,0.9333333333333333,0.0
156,0.9696969696969697,0.0
157,1.0,0.0
158,1.0,0.0
159,1.0,0.0
160,0.9772727272727273,0.0
161,0.946969696969697,0.0
162,0.9333333333333333,0.0
163,0.946969696969697,0.0
164,1.0,0.0
165,1.0,0.0
166,1.0,0.0
167,0.9333333333333333,0.0
168,0.9666666666666667,0.0
169,1.0,0.0
170,1.0,0.0
171,0.9545454545454546,0.0
172,1.0,0.0
173,0.9924242424242424,0.0
174,1.0,0.0
175,0.946969696969697,0.0
176,0.6875,0.0
177,0.9924242424242424,0.0
178,0.9696969696969697,0.0
179,0.9545454545454546,0.0
180,0.946969696969697,0.0
181,0.6875,0.0
182,0.946969696969697,0.0
183,0.9545454545454546,0.0
184,0.9696969696969697,0.0
185,1.0,0.0
186,1.0,0.0
187,0.9621212121212122,0.0
188,0.9545454545454546,0.0
189,0.9545454545454546,0.0
190,1.0,0.0
191,0.9848484848484849,0.0
192,1.0,0.0
193,0.9924242424242424,0.0
194,0.946969696969697,0.0
195,0.9924242424242424,0.0
196,1.0,0.0
197,1.0,0.0
198,0.9924242424242424,0.0
199,0.946969696969697,0.0
200,0.946969696969697,0.0
201,0.946969696969697,0.0
202,1.0,0.0
203,0.946969696969697,0.0
204,1.0,0.0
205,1.0,0.0
206,1.0,0.0
207,1.0,0.0
208,1.0,0.0
209,0.9772727272727273,0.0
210,0.9545454545454546,0.0
211,0.946969696969697,0.0
212,1.0,0.0
213,0.9411764705882353,0.0
214,0.9666666666666667,0.0
215,0.9666666666666667,0.0
216,1.0,0.0
217,0.946969696969697,0.0
218,1.0,0.0
219,0.9924242424242424,0.0
220,1.0,0.0
221,0.9333333333333333,0.0
222,0.9696969696969697,0.0
223,0.9696969696969697,0.0
224,1.0,0.0
225,0.6875,0.0
226,1.0,0.0
227,0.946969696969697,0.0
228,0.9924242424242424,0.0
229,1.0,0.0
230,1.0,0.0
231,1.0,0.0
232,1.0,0.0
233,1.0,0.0
234,0.9545454545454546,0.0
235,0.9666666666666667,0.0
236,0.9333333333333333,0.0
237,1.0,0.0
238,0.9924242424242424,0.0
239,1.0,0.0
240,1.0,0.0
241,1.0,0.0
242,0.9924242424242424,0.0
243,1.0,0.0
