instances,feature_F3,algo_random_forest
1,0.482024454592668,0.0
2,0.47672018995836163,0.0
3,0.48062795513809653,0.0
4,0.483461934810392,0.0
5,0.49204581888343313,0.0
6,0.4801893852672235,0.0
7,0.4905346915595084,0.0
8,0.4783786174379169,0.0
9,0.48654511306464787,0.0
10,0.4794986346911212,0.0
11,0.4821311749899264,0.0
12,0.47587106646894695,0.0
13,0.4821942906526353,0.0
14,0.4759033172562793,0.0
15,0.47913024149444283,0.0
16,0.48128293553750684,0.0
17,0.4768767638709909,0.0
18,0.4720600546518809,0.0
19,0.4743372572631435,0.0
20,0.47791705811335283,0.0
21,0.4759855352230547,0.0
22,0.47895527405614985,0.0
23,0.4728068587223914,0.0
24,0.48477489356463266,0.0
25,0.478738625575569,0.0
26,0.4779171672055019,0.0
27,0.4753239396487701,0.0
28,0.4862169867660245,0.0
29,0.48049258994793176,0.0
30,0.48663195012203025,0.0
31,0.4738574311108148,0.0
32,0.47599748568907924,0.0
33,0.48271653491090494,0.0
34,0.48072761328520036,0.0
35,0.4831080409319327,0.0
36,0.4764776538588157,0.0
37,0.4781170788781088,0.0
38,0.4875032003541603,0.0
39,0.48923427376951895,0.0
40,0.48401081717972316,0.0
41,0.4872697731024492,0.0
42,0.4803631093733574,0.0
43,0.4829168201359348,0.0
44,0.48865177800060083,0.0
45,0.4877960836554373,0.0
46,0.47769363736076964,0.0
47,0.47025955903433386,0.0
48,0.48729743846569346,0.0
49,0.4793645665797063,0.0
50,0.4821052326219428,0.0
51,0.48783141384172707,0.0
52,0.4861604616774541,0.0
53,0.474853240474274,0.0
54,0.48705427043287525,0.0
55,0.4809207656321507,0.0
56,0.4844593015502132,0.0
57,0.48062255691053873,0.0
58,0.48142840668439285,0.0
59,0.4812924939091372,0.0
60,0.480700278473549,0.0
61,0.481727222727992,0.0
62,0.49100923979063177,0.0
63,0.4791438646624512,0.0
64,0.4758519296563514,0.0
65,0.4791570746728816,0.0
66,0.49064267181880933,0.0
67,0.4855858827287685,0.0
68,0.48570637358431623,0.0
69,0.483994625768051,0.0
70,0.48356146774099945,0.0
71,0.4813780762569764,0.0
72,0.47726604543314033,0.0
73,0.4792431558571068,0.0
74,0.48456116583896686,0.0
75,0.4830919526920843,0.0
76,0.48409350040689586,0.0
77,0.48696139996027576,0.0
78,0.4832250571406605,0.0
79,0.4898868252782976,0.0
80,0.47832709372320814,0.0
81,0.4847376547828312,0.0
82,0.4820051599616956,0.0
83,0.47772666720308454,0.0
84,0.477661718528403,0.0
85,0.4737773168219439,0.0
86,0.4790484457750397,0.0
87,0.4793982558111155,0.0
88,0.4871594238926683,0.0
89,0.4784768046587301,0.0
90,0.4770891920449258,0.0
91,0.48862228357703186,0.0
92,0.48468817228442,0.0
93,0.478171618633889,0.0
94,0.48878707358635043,0.0
95,0.48106936079631507,0.0
96,0.4887020363425321,0.0
97,0.4784750905642084,0.0
98,0.4823100523262877,0.0
99,0.48180978532459856,0.0
100,0.48907396732181935,0.0
101,0.4905538103438974,0.0
102,0.47919363348733146,0.0
103,0.4765344213923163,0.0
104,0.46156396536753086,0.0
105,0.4788496669509192,0.0
106,0.480366577469405,0.0
107,0.47671855406889296,0.0
108,0.4860288845076855,0.0
109,0.47911428626054187,0.0
110,0.47418524078339963,0.0
111,0.47576364633608265,0.0
112,0.48478797185695466,0.0
113,0.4840021183724443,0.0
114,0.48794982425278705,0.0
115,0.4810521052036997,0.0
116,0.4880728889425344,0.0
117,0.480021801582897,0.0
118,0.4884253725018964,0.0
119,0.4727727910811542,0.0
120,0.4870385145442019,0.0
121,0.48161296467008624,0.0
122,0.47887895803391956,0.0
123,0.47440344000188955,0.0
124,0.48112234811130355,0.0
125,0.4852613610699022,0.0
126,0.47985062356517594,0.0
127,0.4878245059664729,0.0
128,0.4847039051028038,0.0
129,0.4884149560841052,0.0
130,0.4844447742399084,0.0
131,0.4755897622742452,0.0
132,0.4858531934702933,0.0
133,0.4777696569614146,0.0
134,0.4802821084940379,0.0
135,0.4828632069567608,0.0
136,0.4833218241465855,0.0
137,0.48365725231421125,0.0
138,0.47134859917389826,0.0
139,0.48087030170666345,0.0
140,0.48696780987619537,0.0
141,0.4823580888160309,0.0
142,0.48773776328690027,0.0
143,0.48984257307520934,0.0
144,0.4829420271030209,0.0
145,0.47989658160233306,0.0
146,0.4772943899551061,0.0
147,0.4817269693116016,0.0
148,0.483972838501822,0.0
149,0.4753520933743745,0.0
150,0.4743103350957025,0.0
151,0.4826132292740811,0.0
152,0.4846749991046764,0.0
153,0.48477910083789744,0.0
154,0.4852060008447905,0.0
155,0.4814352759582694,0.0
156,0.4894404503899899,0.0
157,0.47565061845740936,0.0
158,0.4867628868434751,0.0
159,0.4835518851681308,0.0
160,0.4807322019077294,0.0
161,0.477785702602706,0.0
162,0.4799311328596106,0.0
163,0.47909699032484976,0.0
164,0.48344714237510195,0.0
165,0.46818241925924176,0.0
166,0.4853899294267145,0.0
167,0.48938836451802215,0.0
168,0.48381389800462793,0.0
169,0.4885455035440924,0.0
170,0.4962766316433488,0.0
171,0.4825092244744254,0.0
172,0.48753937008492676,0.0
173,0.4863828024547341,0.0
174,0.47827833817404375,0.0
175,0.4780183910319992,0.0
176,0.4825444703784063,0.0
177,0.476546762524041,0.0
178,0.4758099349004599,0.0
179,0.4750362802843156,0.0
180,0.47415002527688566,0.0
181,0.47867993663030867,0.0
