instances,feature_N2,algo_random_forest
1,0.7287038061282665,0.7339691750802004
2,0.8081466658059517,0.5108256237659907
3,0.44143948602187866,0.5621189181535413
4,0.3473873603718419,0.616186139423817
5,0.6152780526419949,1.2378743560016174
6,0.46440151618943226,0.35667494393873245
7,0.26680354441322673,0.616186139423817
8,0.6847075809418326,0.9675840262617056
9,0.6619121338283258,1.2039728043259361
10,0.4219219492652013,0.40047756659712525
11,0.5787192545237836,0.6348782724359695
12,0.5626891958830975,2.4079456086518722
13,0.4999169681085336,1.1394342831883648
14,0.5005349612939769,0.7133498878774648
15,0.85756733441963,1.5141277326297755
16,0.46220247540463344,0.35667494393873245
17,0.638187179107706,1.5606477482646683
18,0.6995471970293988,2.2072749131897207
19,0.5577756304354602,1.1086626245216111
20,0.4324996159593336,0.9675840262617056
21,0.27439510768412656,0.6539264674066639
22,0.25140073081607794,0.579818495252942
23,0.565756877508411,0.9675840262617056
24,0.40359290553398797,0.6931471805599453
25,0.5051275411109672,0.7133498878774648
26,0.5673434242726366,1.3093333199837622
27,0.5645087024587899,1.1394342831883648
28,0.36389093588798826,0.7339691750802004
29,0.5889034408858198,1.1394342831883648
