Row,z_1,z_2
0,0.6148546411124679,0.8075565998922946
1,0.6276987896325094,0.8079278163417107
2,0.2610457408073032,0.6283643045935229
3,0.2429107683111697,0.6278401748631814
4,0.231296548817984,0.627504505331155
5,0.34269015399910663,0.8106687536039097
6,0.3619339701109018,0.8112249306894589
7,0.3838804249375404,0.8118592183594673
8,0.3898869436796903,0.8120328163646081
9,0.3967189402596252,0.8122302720004465
10,0.40624320456542706,0.8125055384825636
11,0.5653015894520338,0.8061244373891577
12,0.5967183275998295,0.8070324314044297
13,0.59788618695486,0.8070661844089606
