instances,feature_Usefulness,feature_Harmfulness,algo_random_forest
1,0.9753086419753086,0.024691358024691357,0.40047756659712525
2,0.9382716049382716,0.0,0.3011050927839216
3,0.8571428571428572,0.07142857142857142,0.3011050927839216
4,0.9753086419753086,0.0,0.16251892949777494
5,0.8271604938271605,0.0,0.08338160893905101
6,0.962962962962963,0.0,0.15082288973458366
7,0.8765432098765432,0.0,0.05129329438755058
8,0.8518518518518519,0.0,0.040821994520255166
9,0.9876543209876543,0.0,0.10536051565782628
10,0.9753086419753086,0.0,0.08338160893905101
11,0.9506172839506173,0.0,0.31471074483970024
12,0.8214285714285714,0.10714285714285714,0.527632742082372
13,0.9753086419753086,0.012345679012345678,0.4155154439616658
14,0.9135802469135803,0.0,0.040821994520255166
15,0.9642857142857143,0.0,0.3285040669720361
16,0.9382716049382716,0.0,9.992007221626415e-16
17,1.0,0.42857142857142855,0.916290731874155
18,0.8395061728395061,0.0,0.08338160893905101
19,0.9642857142857143,0.0,0.916290731874155
20,0.962962962962963,0.0,0.2484613592984996
21,0.9506172839506173,0.0,0.35667494393873245
22,0.9753086419753086,0.0,0.08338160893905101
23,0.962962962962963,0.0,0.15082288973458366
24,1.0,0.07142857142857142,0.9675840262617056
25,0.9753086419753086,0.0,0.020202707317519466
26,1.0,0.037037037037037035,0.3856624808119846
27,0.9506172839506173,0.0,0.08338160893905101
28,1.0,0.03571428571428571,0.6539264674066639
29,0.962962962962963,0.012345679012345678,0.4155154439616658
30,1.0,0.07142857142857142,1.2378743560016174
31,0.9876543209876543,0.0,0.21072103131565253
32,0.962962962962963,0.0,0.18632957819149348
33,0.962962962962963,0.0,0.916290731874155
34,0.9506172839506173,0.0,0.020202707317519466
35,0.9642857142857143,0.07142857142857142,0.8675005677047231
36,0.9642857142857143,0.0,0.9675840262617056
37,0.9753086419753086,0.0,0.5108256237659907
38,0.9642857142857143,0.03571428571428571,0.7550225842780328
39,0.9259259259259259,0.0,0.07257069283483537
40,0.9876543209876543,0.0,0.3011050927839216
41,0.8024691358024691,0.0,0.21072103131565253
42,0.9876543209876543,0.06172839506172839,0.7339691750802004
43,0.9012345679012346,0.0,0.11653381625595151
44,0.9642857142857143,0.0,0.11653381625595151
45,0.9876543209876543,0.0,0.040821994520255166
46,0.9135802469135803,0.0,0.11653381625595151
47,0.8214285714285714,0.07142857142857142,0.3285040669720361
48,0.8888888888888888,0.012345679012345678,0.05129329438755058
49,0.9753086419753086,0.0,0.08338160893905101
50,0.9876543209876543,0.024691358024691357,0.579818495252942
51,0.8888888888888888,0.0,0.09431067947124129
52,0.8395061728395061,0.012345679012345678,0.030459207484708574
53,1.0,0.0,0.2484613592984996
54,0.962962962962963,0.0,0.2231435513142097
55,0.9135802469135803,0.0,0.4462871026284195
56,0.9259259259259259,0.0,0.19845093872383832
57,1.0,0.07142857142857142,0.6348782724359695
58,0.8765432098765432,0.0,9.992007221626415e-16
59,0.9382716049382716,0.012345679012345678,0.3285040669720361
60,0.9642857142857143,0.14285714285714285,0.6733445532637656
61,0.9753086419753086,0.0,0.10536051565782628
62,0.9012345679012346,0.0,0.020202707317519466
63,0.8888888888888888,0.0,0.030459207484708574
64,0.9876543209876543,0.0,0.18632957819149348
65,0.962962962962963,0.024691358024691357,0.2231435513142097
66,0.7901234567901234,0.0,0.020202707317519466
67,0.9876543209876543,0.0,0.08338160893905101
68,0.9642857142857143,0.03571428571428571,0.7339691750802004
69,1.0,0.5,1.2378743560016174
70,0.8395061728395061,0.0,0.040821994520255166
71,0.9285714285714286,0.0,0.21072103131565253
72,1.0,0.012345679012345678,0.527632742082372
73,0.9382716049382716,0.012345679012345678,0.527632742082372
74,0.9642857142857143,0.10714285714285714,1.2378743560016174
75,1.0,0.012345679012345678,1.0788096613719298
76,0.9506172839506173,0.0,0.01005033585350145
77,0.9753086419753086,0.0,0.2744368457017603
78,0.962962962962963,0.0,0.13926206733350766
79,0.8928571428571429,0.07142857142857142,1.0498221244986778
80,1.0,0.35714285714285715,1.6094379124341003
81,0.8148148148148149,0.0,0.08338160893905101
82,0.9876543209876543,0.037037037037037035,0.40047756659712525
83,0.8271604938271605,0.012345679012345678,0.19845093872383832
84,0.8765432098765432,0.0,0.13926206733350766
85,1.0,0.0,0.3011050927839216
86,0.962962962962963,0.0,0.7765287894989963
87,0.9259259259259259,0.012345679012345678,0.12783337150988489
88,1.0,0.17857142857142858,1.1394342831883648
89,0.962962962962963,0.0,0.05129329438755058
90,0.9753086419753086,0.0,0.030459207484708574
91,1.0,0.07142857142857142,0.6348782724359695
92,0.9753086419753086,0.0,0.040821994520255166
93,1.0,0.07142857142857142,0.342490308946776
94,0.9382716049382716,0.0,0.09431067947124129
95,0.8271604938271605,0.0,0.12783337150988489
96,0.9135802469135803,0.012345679012345678,0.5108256237659907
97,0.9285714285714286,0.0,0.37106368139083207
98,0.9012345679012346,0.0,0.07257069283483537
99,0.9382716049382716,0.0,0.06187540371808753
100,0.9382716049382716,0.0,0.08338160893905101
101,0.9876543209876543,0.0,0.08338160893905101
102,0.962962962962963,0.0,0.07257069283483537
103,1.0,0.21428571428571427,1.6094379124341003
104,0.9876543209876543,0.0,0.15082288973458366
105,0.9285714285714286,0.10714285714285714,0.8915981192837836
106,1.0,0.0,0.6348782724359695
107,0.9382716049382716,0.0,0.13926206733350766
108,0.9135802469135803,0.0,0.01005033585350145
109,0.8888888888888888,0.0,9.992007221626415e-16
